id,split,text,formula,gold,prediction,correctness,complexity,has_neg,has_or,has_all
sick_trial_4_p,trial,The young boys are playing outdoors and the man is smiling nearby.,exists e1 e2 x3 x4 x5.(boy(x3) & young(x3) & outdoors(x4) & play(e1) & (subj(e1) = x3) & (obj(e1) = x4) & man(x5) & smile(e2) & (subj(e2) = x5) & nearby(e2)),no,no,valid,14,False,False,False
sick_trial_4_h,trial,There is no boy playing outdoors and there is no man smiling.,(-exists e1 x2 x3.(boy(x2) & outdoors(x3) & play(e1) & (subj(e1) = x2) & (obj(e1) = x3)) & -exists e4 x5.(man(x5) & smile(e4) & (subj(e4) = x5))),no,no,valid,14,True,False,False
sick_trial_211_p,trial,Two dogs are playing by a tree.,exists e1 x2 x3.(dog(x2) & two(x2) & play(e1) & (subj(e1) = x2) & tree(x3) & (subj(e1) = x3)),yes,yes,valid,8,False,False,False
sick_trial_211_h,trial,Two dogs are playing by a plant.,exists e1 x2 x3.(dog(x2) & two(x2) & play(e1) & (subj(e1) = x2) & plant(x3) & (subj(e1) = x3)),yes,yes,valid,8,False,False,False
sick_trial_630_p,trial,A man isn't tossing a kid into the swimming pool that is near the ocean.,"-exists e1 e2 x3 x4 x5 x6.(man(x3) & kid(x4) & toss(e1) & (subj(e1) = x3) & (obj(e1) = x4) & pool(x5) & swim(x5) & ocean(x6) & near(e2,x6) & (subj(e2) = x5) & into(e1,x5))",no,no,valid,17,True,False,False
sick_trial_630_h,trial,The man is tossing a kid into the swimming pool that is near the ocean.,"exists e1 e2 x3 x4 x5 x6.(man(x3) & kid(x4) & toss(e1) & (subj(e1) = x3) & (obj(e1) = x4) & pool(x5) & swim(x5) & ocean(x6) & near(e2,x6) & (subj(e2) = x5) & into(e1,x5))",no,no,valid,16,False,False,False
sick_trial_913_p,trial,A woman is being kissed by a man.,exists e1 x2 x3.(woman(x2) & kiss(e1) & (obj(e1) = x2) & man(x3) & (subj(e1) = x3)),no,no,valid,7,False,False,False
sick_trial_913_h,trial,There is no woman being kissed by a man.,-exists e1 x2 x3.(woman(x2) & kiss(e1) & (obj(e1) = x2) & man(x3) & (subj(e1) = x3)),no,no,valid,8,True,False,False
sick_trial_1178_p,trial,A woman is combing her hair.,exists e1 x2 x3.(woman(x2) & hair(x3) & comb(e1) & (subj(e1) = x2) & (obj(e1) = x3)),no,no,valid,7,False,False,False
sick_trial_1178_h,trial,There is no woman combing her hair.,-exists e1 x2 x3.(woman(x2) & hair(x3) & comb(e1) & (subj(e1) = x2) & (obj(e1) = x3)),no,no,valid,8,True,False,False
sick_trial_1190_p,trial,A man and a woman are hiking through a wooded area.,"exists e1 e2 x3 x4 x5 x6.(man(x3) & hike(e1) & (subj(e1) = x3) & area(x4) & wood(x4) & through(e1,x4) & woman(x5) & hike(e2) & (subj(e2) = x5) & area(x6) & wood(x6) & through(e2,x6))",yes,yes,valid,17,False,False,False
sick_trial_1190_h,trial,A man and a woman are walking together through the woods.,"exists e1 e2 x3 x4 x5 x6.(man(x3) & walk(e1) & (subj(e1) = x3) & wood(x4) & through(e1,x4) & woman(x5) & walk(e2) & (subj(e2) = x5) & wood(x6) & through(e2,x6))",yes,yes,valid,15,False,False,False
sick_trial_1333_p,trial,The woman is measuring the other woman.,exists e1 x2 x3.(woman(x2) & woman(x3) & measure(e1) & (subj(e1) = x2) & (obj(e1) = x3)),yes,yes,valid,7,False,False,False
sick_trial_1333_h,trial,A woman is being measured by another woman.,exists e1 x2 x3.(woman(x2) & measure(e1) & (obj(e1) = x2) & woman(x3) & (subj(e1) = x3)),yes,yes,valid,7,False,False,False
sick_trial_1412_p,trial,Men are sawing logs.,exists e1 x2 x3.(men(x2) & log(x3) & saw(e1) & (subj(e1) = x2) & (obj(e1) = x3)),yes,yes,valid,7,False,False,False
sick_trial_1412_h,trial,Men are cutting wood.,exists e1 x2 x3.(men(x2) & wood(x3) & cut(e1) & (subj(e1) = x2) & (obj(e1) = x3)),yes,yes,valid,7,False,False,False
sick_trial_1469_p,trial,"Three young men are running, jumping and kicking near a vending machine.","exists e1 e2 e3 x4 x5 x6 x7.(man(x4) & young(x4) & three(x4) & run(e1) & (subj(e1) = x4) & machine(x5) & vend(x5) & near(e1,x5) & jump(e2) & (subj(e2) = x4) & machine(x6) & vend(x6) & near(e2,x6) & kick(e3) & (subj(e3) = x4) & machine(x7) & vend(x7) & near(e3,x7))",no,no,valid,24,False,False,False
sick_trial_1469_h,trial,"There is no man running, jumping and kicking near a vending machine.","-exists e1 e2 e3 x4 x5 x6 x7.(man(x4) & run(e1) & (subj(e1) = x4) & machine(x5) & vend(x5) & near(e1,x5) & jump(e2) & (subj(e2) = x4) & machine(x6) & vend(x6) & near(e2,x6) & kick(e3) & (subj(e3) = x4) & machine(x7) & vend(x7) & near(e3,x7))",no,no,valid,23,True,False,False
sick_trial_1487_p,trial,The man is not stirring the sauce for the chicken.,"-exists e1 x2 x3 x4.(man(x2) & sauce(x3) & stir(e1) & (subj(e1) = x2) & (obj(e1) = x3) & chicken(x4) & for(e1,x4))",no,no,valid,11,True,False,False
sick_trial_1487_h,trial,The man is stirring the sauce for the chicken.,"exists e1 x2 x3 x4.(man(x2) & sauce(x3) & stir(e1) & (subj(e1) = x2) & (obj(e1) = x3) & chicken(x4) & for(e1,x4))",no,no,valid,10,False,False,False
sick_trial_1493_p,trial,A man is playing an electric guitar.,exists e1 x2 x3.(man(x2) & guitar(x3) & electric(x3) & play(e1) & (subj(e1) = x2) & (obj(e1) = x3)),yes,yes,valid,8,False,False,False
sick_trial_1493_h,trial,A man is playing guitar.,exists e1 x2 x3.(man(x2) & guitar(x3) & play(e1) & (subj(e1) = x2) & (obj(e1) = x3)),yes,yes,valid,7,False,False,False
sick_trial_1503_p,trial,Three boys in karate costumes aren't fighting.,"-exists e1 e2 x3 x4.(boy(x3) & three(x3) & costume(x4) & karate(x4) & in(e1,x4) & (subj(e1) = x3) & fight(e2) & (subj(e2) = x3))",no,no,valid,12,True,False,False
sick_trial_1503_h,trial,Three boys in karate costumes are fighting.,"exists e1 e2 x3 x4.(boy(x3) & three(x3) & costume(x4) & karate(x4) & in(e1,x4) & (subj(e1) = x3) & fight(e2) & (subj(e2) = x3))",no,no,valid,11,False,False,False
sick_trial_1608_p,trial,A snake is being fed a mouse by a man.,exists e1 x2 x3 x4.(snake(x2) & mouse(x3) & feed(e1) & (iobj(e1) = x2) & (obj(e1) = x3) & man(x4) & (subj(e1) = x4)),no,no,valid,10,False,False,False
