id,split,text,formula,gold,prediction,correctness,complexity,has_neg,has_or,has_all
sick_train_42_p,train,Two people are kickboxing and spectators are not watching.,(exists x2.(_people(x2) & _two(x2) & exists e3.(_kickbox(e3) & (subj(e3) = x2))) & -exists x4.(_spectator(x4) & exists e5.(_watch(e5) & (subj(e5) = x4)))),no,no,valid,11,True,False,False
sick_train_42_h,train,Two people are kickboxing and spectators are watching.,(exists x1.(_people(x1) & _two(x1) & exists e2.(_kickbox(e2) & (subj(e2) = x1))) & exists x3.(_spectator(x3) & exists e4.(_watch(e4) & (subj(e4) = x3)))),no,no,valid,10,False,False,False
sick_train_55_p,train,Three boys are jumping in the leaves.,"exists x4.(_boy(x4) & _three(x4) & exists e5.(_jump(e5) & (subj(e5) = x4) & exists x6.(_leaf(x6) & _in(e5,x6))))",yes,yes,valid,8,False,False,False
sick_train_55_h,train,Three kids are jumping in the leaves.,"exists x1.(_kid(x1) & _three(x1) & exists e2.(_jump(e2) & (subj(e2) = x1) & exists x3.(_leaf(x3) & _in(e2,x3))))",yes,yes,valid,8,False,False,False
sick_train_88_p,train,There is no biker jumping in the air.,"-exists x5.(_biker(x5) & exists e6.(_jump(e6) & (subj(e6) = x5) & exists x7.(_air(x7) & _in(e6,x7))))",no,no,valid,8,True,False,False
sick_train_88_h,train,A lone biker is jumping in the air.,"exists x1.(_biker(x1) & _lone(x1) & exists e2.(_jump(e2) & (subj(e2) = x1) & exists x3.(_air(x3) & _in(e2,x3))))",no,no,valid,8,False,False,False
sick_train_98_p,train,Four kids are doing backbends in the park.,"exists x5.(_kid(x5) & _four(x5) & exists x6.(_backbend(x6) & exists e7.(_do(e7) & (subj(e7) = x5) & (obj(e7) = x6) & exists x8.(_park(x8) & _in(e7,x8)))))",yes,yes,valid,11,False,False,False
sick_train_98_h,train,Four children are doing backbends in the park.,"exists x1.(_child(x1) & _four(x1) & exists x2.(_backbend(x2) & exists e3.(_do(e3) & (subj(e3) = x1) & (obj(e3) = x2) & exists x4.(_park(x4) & _in(e3,x4)))))",yes,yes,valid,11,False,False,False
sick_train_129_p,train,An old man is sitting in a field.,"exists x4.(_man(x4) & _old(x4) & exists e5.(_sit(e5) & (subj(e5) = x4) & exists x6.(_field(x6) & _in(e5,x6))))",yes,yes,valid,8,False,False,False
sick_train_129_h,train,A man is sitting in a field.,"exists x1.(_man(x1) & exists e2.(_sit(e2) & (subj(e2) = x1) & exists x3.(_field(x3) & _in(e2,x3))))",yes,yes,valid,7,False,False,False
sick_train_140_p,train,The current is being ridden by a group of friends in a raft.,"exists x3.(_current(x3) & exists e4.(_ride(e4) & (obj(e4) = x3) & exists x5.(exists x6.(_friend(x6) & (x5 = x6)) & (subj(e4) = x5) & exists x7.(_raft(x7) & _in(e4,x7)))))",yes,yes,valid,12,False,False,False
sick_train_140_h,train,A group of friends are riding the current in a raft.,"exists x1.(exists x2.(_friend(x2) & (x1 = x2)) & exists x3.(_current(x3) & exists e4.(_ride(e4) & (subj(e4) = x1) & (obj(e4) = x3) & exists x5.(_raft(x5) & _in(e4,x5)))))",yes,yes,valid,12,False,False,False
sick_train_141_p,train,A group of friends are riding the current in a raft.,"exists x4.(exists x5.(_friend(x5) & (x4 = x5)) & exists x6.(_current(x6) & exists e7.(_ride(e7) & (subj(e7) = x4) & (obj(e7) = x6) & exists x8.(_raft(x8) & _in(e7,x8)))))",no,no,valid,12,False,False,False
sick_train_141_h,train,A group is not riding the current in a raft.,"-exists x1 x2.(_current(x2) & exists e3.(_ride(e3) & (subj(e3) = x1) & (obj(e3) = x2) & exists x4.(_raft(x4) & _in(e3,x4))))",no,no,valid,10,True,False,False
sick_train_150_p,train,A deer is jumping over a fence.,"exists x4.(_deer(x4) & exists e5.(_jump(e5) & (subj(e5) = x4) & exists x6.(_fence(x6) & _over(e5,x6))))",no,no,valid,7,False,False,False
sick_train_150_h,train,A deer isn't jumping over the fence.,"-exists x1.(_deer(x1) & exists e2.(_jump(e2) & (subj(e2) = x1) & exists x3.(_fence(x3) & _over(e2,x3))))",no,no,valid,8,True,False,False
sick_train_161_p,train,Several people are in front of a colorful building.,"exists x5.(_people(x5) & exists e6.(exists x7.(_front(x7) & exists x8.(_build(x8) & _colorful(x8) & (x7 = x8)) & _in(e6,x7)) & (subj(e6) = x5)))",no,no,valid,10,False,False,False
sick_train_161_h,train,Nobody is in front of the colorful building.,"-exists x1 e2.(exists x3.(_front(x3) & exists x4.(_build(x4) & _colorful(x4) & (x3 = x4)) & _in(e2,x3)) & (subj(e2) = x1))",no,no,valid,10,True,False,False
sick_train_192_p,train,A motorcycle rider is standing up on the seat of a white motorcycle.,"exists x4.(_rider(x4) & _motorcycle(x4) & exists e5.(_stand(e5) & (subj(e5) = x4) & exists x6.(_seat(x6) & exists x7.(_motorcycle(x7) & _white(x7) & (x6 = x7)) & _on(e5,x6)) & _up(e5)))",no,no,valid,13,False,False,False
sick_train_192_h,train,No motorcycle rider is standing up on the seat of a motorcycle.,"-exists x1.(_rider(x1) & _motorcycle(x1) & exists e2.(_stand(e2) & (subj(e2) = x1) & exists x3.(_seat(x3) & exists x4.(_motorcycle(x4) & (x3 = x4)) & _on(e2,x3)) & _up(e2)))",no,no,valid,13,True,False,False
sick_train_194_p,train,Nobody is on a motorcycle and is standing on the seat.,"-exists x5.(exists e6.(exists x7.(_motorcycle(x7) & _on(e6,x7)) & (subj(e6) = x5)) & exists e8.(_stand(e8) & (subj(e8) = x5) & exists x9.(_seat(x9) & _on(e8,x9))))",no,no,valid,12,True,False,False
sick_train_194_h,train,Someone is on a black and white motorcycle and is standing on the seat.,"exists x1.(exists e2.(exists x3.(_motorcycle(x3) & _black(x3) & _white(x3) & _on(e2,x3)) & (subj(e2) = x1)) & exists e4.(_stand(e4) & (subj(e4) = x1) & exists x5.(_seat(x5) & _on(e4,x5))))",no,no,valid,13,False,False,False
sick_train_200_p,train,A motorcyclist is riding a motorbike dangerously along a roadway.,"exists x8.(_motorcyclist(x8) & exists x9.(_motorbike(x9) & exists e10.(_ride(e10) & (subj(e10) = x8) & (obj(e10) = x9) & _dangerously(e10) & exists x11.(_roadway(x11) & _along(e10,x11)))))",yes,yes,valid,11,False,False,False
sick_train_200_h,train,A motorcyclist is riding a motorbike along a roadway.,"exists x1.(_motorcyclist(x1) & exists x2.(_motorbike(x2) & exists e3.(_ride(e3) & (subj(e3) = x1) & (obj(e3) = x2) & exists x4.(_roadway(x4) & _along(e3,x4)))))",yes,yes,valid,10,False,False,False
sick_train_201_p,train,There is no motorcyclist riding a motorbike along a roadway.,"-exists x4.(_motorcyclist(x4) & exists x5.(_motorbike(x5) & exists e6.(_ride(e6) & (subj(e6) = x4) & (obj(e6) = x5) & exists x7.(_roadway(x7) & _along(e6,x7)))))",no,no,valid,11,True,False,False
sick_train_201_h,train,A motorcyclist is riding a motorbike along a roadway.,"exists x1.(_motorcyclist(x1) & exists x2.(_motorbike(x2) & exists e3.(_ride(e3) & (subj(e3) = x1) & (obj(e3) = x2) & exists x4.(_roadway(x4) & _along(e3,x4)))))",no,no,valid,10,False,False,False
sick_train_232_p,train,Three Asian kids are dancing and a man is looking.,(exists x5.(_kid(x5) & _asian(x5) & _three(x5) & exists e6.(_dance(e6) & (subj(e6) = x5))) & exists x7.(_man(x7) & exists e8.(_look(e8) & (subj(e8) = x7)))),no,no,valid,11,False,False,False
sick_train_232_h,train,Three Asian kids are dancing and there is no man looking.,(exists x1.(_kid(x1) & _asian(x1) & _three(x1) & exists e2.(_dance(e2) & (subj(e2) = x1))) & -exists x3.(_man(x3) & exists e4.(_look(e4) & (subj(e4) = x3)))),no,no,valid,12,True,False,False
