id,split,text,formula,gold,prediction,correctness,complexity,has_neg,has_or,has_all
sick_train_42_p,train,Two people are kickboxing and spectators are not watching.,exists e1 x2.(people(x2) & two(x2) & kickbox(e1) & (subj(e1) = x2) & -exists e3 x4.(spectator(x4) & watch(e3) & (subj(e3) = x4))),no,no,valid,11,True,False,False
sick_train_42_h,train,Two people are kickboxing and spectators are watching.,exists e1 e2 x3 x4.(people(x3) & two(x3) & kickbox(e1) & (subj(e1) = x3) & spectator(x4) & watch(e2) & (subj(e2) = x4)),no,no,valid,10,False,False,False
sick_train_55_p,train,Three boys are jumping in the leaves.,"exists e1 x2 x3.(boy(x2) & three(x2) & jump(e1) & (subj(e1) = x2) & leaf(x3) & in(e1,x3))",yes,yes,valid,8,False,False,False
sick_train_55_h,train,Three kids are jumping in the leaves.,"exists e1 x2 x3.(kid(x2) & three(x2) & jump(e1) & (subj(e1) = x2) & leaf(x3) & in(e1,x3))",yes,yes,valid,8,False,False,False
sick_train_88_p,train,There is no biker jumping in the air.,"-exists e1 x2 x3.(biker(x2) & jump(e1) & (subj(e1) = x2) & air(x3) & in(e1,x3))",no,no,valid,8,True,False,False
sick_train_88_h,train,A lone biker is jumping in the air.,"exists e1 x2 x3.(biker(x2) & lone(x2) & jump(e1) & (subj(e1) = x2) & air(x3) & in(e1,x3))",no,no,valid,8,False,False,False
sick_train_98_p,train,Four kids are doing backbends in the park.,"exists e1 x2 x3 x4.(kid(x2) & four(x2) & backbend(x3) & do(e1) & (subj(e1) = x2) & (obj(e1) = x3) & park(x4) & in(e1,x4))",yes,yes,valid,11,False,False,False
sick_train_98_h,train,Four children are doing backbends in the park.,"exists e1 x2 x3 x4.(child(x2) & four(x2) & backbend(x3) & do(e1) & (subj(e1) = x2) & (obj(e1) = x3) & park(x4) & in(e1,x4))",yes,yes,valid,11,False,False,False
sick_train_129_p,train,An old man is sitting in a field.,"exists e1 x2 x3.(man(x2) & old(x2) & sit(e1) & (subj(e1) = x2) & field(x3) & in(e1,x3))",yes,yes,valid,8,False,False,False
sick_train_129_h,train,A man is sitting in a field.,"exists e1 x2 x3.(man(x2) & sit(e1) & (subj(e1) = x2) & field(x3) & in(e1,x3))",yes,yes,valid,7,False,False,False
