id,split,text,formula,gold,prediction,correctness,complexity,has_neg,has_or,has_all
sick_trial_4_p,trial,The young boys are playing outdoors and the man is smiling nearby.,(exists x4.(_boy(x4) & _young(x4) & exists x5.(_outdoors(x5) & exists e6.(_play(e6) & (subj(e6) = x4) & (obj(e6) = x5)))) & exists x7.(_man(x7) & exists e8.(_smile(e8) & (subj(e8) = x7) & _nearby(e8)))),no,no,valid,14,False,False,False
sick_trial_4_h,trial,There is no boy playing outdoors and there is no man smiling.,(-exists x1.(_boy(x1) & exists x2.(_outdoors(x2) & exists e3.(_play(e3) & (subj(e3) = x1) & (obj(e3) = x2)))) & -exists x4.(_man(x4) & exists e5.(_smile(e5) & (subj(e5) = x4)))),no,no,valid,14,True,False,False
sick_trial_211_p,trial,Two dogs are playing by a tree.,exists x4.(_dog(x4) & _two(x4) & exists e5.(_play(e5) & (subj(e5) = x4) & exists x6.(_tree(x6) & (subj(e5) = x6)))),yes,yes,valid,8,False,False,False
sick_trial_211_h,trial,Two dogs are playing by a plant.,exists x1.(_dog(x1) & _two(x1) & exists e2.(_play(e2) & (subj(e2) = x1) & exists x3.(_plant(x3) & (subj(e2) = x3)))),yes,yes,valid,8,False,False,False
sick_trial_630_p,trial,A man isn't tossing a kid into the swimming pool that is near the ocean.,"-exists x4.(_man(x4) & exists x5.(_kid(x5) & exists e6.(_toss(e6) & (subj(e6) = x4) & (obj(e6) = x5) & exists x7.(_pool(x7) & _swim(x7) & exists e8.(exists x9.(_ocean(x9) & _near(e8,x9)) & (subj(e8) = x7)) & _into(e6,x7)))))",no,no,valid,17,True,False,False
sick_trial_630_h,trial,The man is tossing a kid into the swimming pool that is near the ocean.,"exists x1.(_man(x1) & exists x2.(_kid(x2) & exists e3.(_toss(e3) & (subj(e3) = x1) & (obj(e3) = x2) & exists x4.(_pool(x4) & _swim(x4) & exists e5.(exists x6.(_ocean(x6) & _near(e5,x6)) & (subj(e5) = x4)) & _into(e3,x4)))))",no,no,valid,16,False,False,False
sick_trial_913_p,trial,A woman is being kissed by a man.,exists x7.(_woman(x7) & exists e8.(_kiss(e8) & (obj(e8) = x7) & exists x9.(_man(x9) & (subj(e8) = x9)))),no,no,valid,7,False,False,False
sick_trial_913_h,trial,There is no woman being kissed by a man.,-exists x1.(_woman(x1) & exists e2.(_kiss(e2) & (obj(e2) = x1) & exists x3.(_man(x3) & (subj(e2) = x3)))),no,no,valid,8,True,False,False
sick_trial_1178_p,trial,A woman is combing her hair.,exists x4.(_woman(x4) & exists x5.(_hair(x5) & exists e6.(_comb(e6) & (subj(e6) = x4) & (obj(e6) = x5)))),no,no,valid,7,False,False,False
sick_trial_1178_h,trial,There is no woman combing her hair.,-exists x1.(_woman(x1) & exists x2.(_hair(x2) & exists e3.(_comb(e3) & (subj(e3) = x1) & (obj(e3) = x2)))),no,no,valid,8,True,False,False
sick_trial_1190_p,trial,A man and a woman are hiking through a wooded area.,"(exists x4.(_man(x4) & exists e5.(_hike(e5) & (subj(e5) = x4) & exists x6.(_area(x6) & _wood(x6) & _through(e5,x6)))) & exists x7.(_woman(x7) & exists e8.(_hike(e8) & (subj(e8) = x7) & exists x9.(_area(x9) & _wood(x9) & _through(e8,x9)))))",yes,yes,valid,17,False,False,False
sick_trial_1190_h,trial,A man and a woman are walking together through the woods.,"(exists x1.(_man(x1) & exists e2.(_walk(e2) & (subj(e2) = x1) & exists x3.(_wood(x3) & _through(e2,x3)))) & exists x4.(_woman(x4) & exists e5.(_walk(e5) & (subj(e5) = x4) & exists x6.(_wood(x6) & _through(e5,x6)))))",yes,yes,valid,15,False,False,False
sick_trial_1333_p,trial,The woman is measuring the other woman.,exists x5.(_woman(x5) & exists x6.(_woman(x6) & exists e7.(_measure(e7) & (subj(e7) = x5) & (obj(e7) = x6)))),yes,yes,valid,7,False,False,False
sick_trial_1333_h,trial,A woman is being measured by another woman.,exists x1.(_woman(x1) & exists e2.(_measure(e2) & (obj(e2) = x1) & exists x3.(_woman(x3) & (subj(e2) = x3)))),yes,yes,valid,7,False,False,False
sick_trial_1412_p,trial,Men are sawing logs.,exists x5.(_men(x5) & exists x6.(_log(x6) & exists e7.(_saw(e7) & (subj(e7) = x5) & (obj(e7) = x6)))),yes,yes,valid,7,False,False,False
sick_trial_1412_h,trial,Men are cutting wood.,exists x1.(_men(x1) & exists x2.(_wood(x2) & exists e3.(_cut(e3) & (subj(e3) = x1) & (obj(e3) = x2)))),yes,yes,valid,7,False,False,False
sick_trial_1469_p,trial,"Three young men are running, jumping and kicking near a vending machine.","exists x3.(_man(x3) & _young(x3) & _three(x3) & exists e4.(_run(e4) & (subj(e4) = x3) & exists x5.(_machine(x5) & _vend(x5) & _near(e4,x5))) & exists e6.(_jump(e6) & (subj(e6) = x3) & exists x7.(_machine(x7) & _vend(x7) & _near(e6,x7))) & exists e8.(_kick(e8) & (subj(e8) = x3) & exists x9.(_machine(x9) & _vend(x9) & _near(e8,x9))))",no,no,valid,24,False,False,False
sick_trial_1469_h,trial,"There is no man running, jumping and kicking near a vending machine.","-exists x1.(_man(x1) & exists e2.(_run(e2) & (subj(e2) = x1) & exists x3.(_machine(x3) & _vend(x3) & _near(e2,x3))) & exists e4.(_jump(e4) & (subj(e4) = x1) & exists x5.(_machine(x5) & _vend(x5) & _near(e4,x5))) & exists e6.(_kick(e6) & (subj(e6) = x1) & exists x7.(_machine(x7) & _vend(x7) & _near(e6,x7))))",no,no,valid,23,True,False,False
sick_trial_1487_p,trial,The man is not stirring the sauce for the chicken.,"-exists x8.(_man(x8) & exists x9.(_sauce(x9) & exists e10.(_stir(e10) & (subj(e10) = x8) & (obj(e10) = x9) & exists x11.(_chicken(x11) & _for(e10,x11)))))",no,no,valid,11,True,False,False
sick_trial_1487_h,trial,The man is stirring the sauce for the chicken.,"exists x1.(_man(x1) & exists x2.(_sauce(x2) & exists e3.(_stir(e3) & (subj(e3) = x1) & (obj(e3) = x2) & exists x4.(_chicken(x4) & _for(e3,x4)))))",no,no,valid,10,False,False,False
sick_trial_1493_p,trial,A man is playing an electric guitar.,exists x5.(_man(x5) & exists x6.(_guitar(x6) & _electric(x6) & exists e7.(_play(e7) & (subj(e7) = x5) & (obj(e7) = x6)))),yes,yes,valid,8,False,False,False
sick_trial_1493_h,trial,A man is playing guitar.,exists x1.(_man(x1) & exists x2.(_guitar(x2) & exists e3.(_play(e3) & (subj(e3) = x1) & (obj(e3) = x2)))),yes,yes,valid,7,False,False,False
sick_trial_1503_p,trial,Three boys in karate costumes aren't fighting.,"-exists x4.(_boy(x4) & _three(x4) & exists x5.(_costume(x5) & _karate(x5) & exists e6.(_in(e6,x5) & (subj(e6) = x4))) & exists e7.(_fight(e7) & (subj(e7) = x4)))",no,no,valid,12,True,False,False
sick_trial_1503_h,trial,Three boys in karate costumes are fighting.,"exists x1.(_boy(x1) & _three(x1) & exists x2.(_costume(x2) & _karate(x2) & exists e3.(_in(e3,x2) & (subj(e3) = x1))) & exists e4.(_fight(e4) & (subj(e4) = x1)))",no,no,valid,11,False,False,False
sick_trial_1608_p,trial,A snake is being fed a mouse by a man.,exists x4.(_snake(x4) & exists x5.(_mouse(x5) & exists e6.(_feed(e6) & (iobj(e6) = x4) & (obj(e6) = x5) & exists x7.(_man(x7) & (subj(e6) = x7))))),no,no,valid,10,False,False,False
sick_trial_1608_h,trial,No snake is being fed a mouse by a man.,-exists x1.(_snake(x1) & exists x2.(_mouse(x2) & exists e3.(_feed(e3) & (iobj(e3) = x1) & (obj(e3) = x2) & exists x4.(_man(x4) & (subj(e3) = x4))))),no,no,valid,11,True,False,False
sick_trial_1703_p,trial,A man is emptying a container made of plastic completely.,"exists x4.(_man(x4) & exists x5.(_container(x5) & exists e6.(_make(e6) & (obj(e6) = x5) & exists x7.(_plastic(x7) & _of(e6,x7)) & _completely(e6)) & exists e8.(_empty(e8) & (subj(e8) = x4) & (obj(e8) = x5))))",yes,yes,valid,14,False,False,False
sick_trial_1703_h,trial,A man is emptying a container made of plastic.,"exists x1.(_man(x1) & exists x2.(_container(x2) & exists e3.(_make(e3) & (obj(e3) = x2) & exists x4.(_plastic(x4) & _of(e3,x4))) & exists e5.(_empty(e5) & (subj(e5) = x1) & (obj(e5) = x2))))",yes,yes,valid,13,False,False,False
sick_trial_1754_p,trial,A flute is being played in a lovely way by a girl.,"exists x4.(_flute(x4) & exists e5.(_play(e5) & (obj(e5) = x4) & exists x6.(_way(x6) & _lovely(x6) & _in(e5,x6) & exists x7.(_girl(x7) & (subj(e5) = x7)))))",yes,yes,valid,11,False,False,False
sick_trial_1754_h,trial,A flute is being played by a girl.,exists x1.(_flute(x1) & exists e2.(_play(e2) & (obj(e2) = x1) & exists x3.(_girl(x3) & (subj(e2) = x3)))),yes,yes,valid,7,False,False,False
sick_trial_1839_p,trial,"The girl, who is little, is carefully combing her hair into a pony tail.","exists x4.(_girl(x4) & _little(x4) & exists x5.(_hair(x5) & exists e6.(_comb(e6) & (subj(e6) = x4) & (obj(e6) = x5) & exists x7.(_tail(x7) & _pony(x7) & _into(e6,x7) & _carefully(e6)))))",yes,yes,valid,13,False,False,False
sick_trial_1839_h,trial,"The girl, who is little, is combing her hair into a pony tail.","exists x1.(_girl(x1) & _little(x1) & exists x2.(_hair(x2) & exists e3.(_comb(e3) & (subj(e3) = x1) & (obj(e3) = x2) & exists x4.(_tail(x4) & _pony(x4) & _into(e3,x4)))))",yes,yes,valid,12,False,False,False
